episode_record_idx,global_step,rooms_visited,episodic_return,episodic_length,gap_steps_since_prev_multiroom,gap_episodes_since_prev_multiroom
10016,4611520,2,400,1387,,
11682,5642592,2,400,1392,1031072,1666
14955,7701152,2,400,2818,2058560,3273
15118,7900512,2,400,1537,199360,163
15189,8028288,4,400,5758,127776,71
15233,8103456,2,400,4389,75168,44
15284,8222720,2,400,4802,119264,51
15348,8328352,2,400,5162,105632,64
15414,8429408,4,400,1863,101056,66
15443,8524864,4,400,5785,95456,29
15461,8577760,4,400,5199,52896,18
15463,8581472,2,400,8022,3712,2
15472,8606880,4,400,5545,25408,9
15478,8621024,4,400,4338,14144,6
15487,8630624,4,400,4376,9600,9
15522,8722016,4,400,1432,91392,35
15524,8723808,2,400,2338,1792,2
15530,8729856,4,400,2547,6048,6
15557,8791264,4,400,2724,61408,27
15744,8969984,5,500,17005,178720,187
15835,9046112,4,400,2967,76128,91
15967,9160800,2,400,1270,114688,132
16000,9191648,4,400,1150,30848,33
16010,9206176,2,400,1315,14528,10
16019,9214048,2,400,1701,7872,9
16026,9221568,2,400,1418,7520,7
16032,9228256,4,400,1076,6688,6
16033,9228768,4,400,1381,512,1
16035,9230656,2,400,1459,1888,2
16080,9278528,4,400,3939,47872,45
16088,9284192,4,400,7110,5664,8
16107,9302336,2,400,1219,18144,19
16300,9438752,4,400,1526,136416,193
16375,9483168,2,400,961,44416,75
16391,9496000,2,400,902,12832,16
16457,9530592,2,400,1141,34592,66
17648,10087168,2,400,956,556576,1191
18595,10586176,2,400,2200,499008,947
18633,10616256,4,400,894,30080,38
18665,10639424,2,400,1102,23168,32
18729,10682400,2,400,1069,42976,64
18788,10722464,4,400,1124,40064,59
19073,10902336,2,400,982,179872,285
19152,10953536,2,400,1436,51200,79
19195,10977312,4,400,10879,23776,43
19210,10984832,2,400,809,7520,15
19813,11281344,4,400,630,296512,603
24408,13156000,4,400,1348,1874656,4595
24478,13203648,2,400,3192,47648,70
24822,13395648,4,400,1413,192000,344
25171,13584352,4,400,591,188704,349
25440,13717856,2,400,661,133504,269
25824,13898048,4,400,6284,180192,384
25872,13918752,2,400,484,20704,48
27190,14481920,2,400,649,563168,1318
31845,16738240,4,400,1399,2256320,4655
31972,16831328,4,400,4397,93088,127
31997,16847104,4,400,754,15776,25
31998,16847264,4,400,881,160,1
32195,17002976,4,400,617,155712,197
32204,17012544,2,400,989,9568,9
32205,17012544,4,400,989,0,1
32241,17038784,4,400,830,26240,36
32244,17042848,4,400,565,4064,3
32261,17058912,4,400,482,16064,17
32295,17083360,4,400,1448,24448,34
32308,17098720,4,400,899,15360,13
32328,17110240,4,0,355,11520,20
32338,17121184,4,400,3390,10944,10
32361,17138240,2,400,1037,17056,23
32379,17150208,2,400,1117,11968,18
32438,17198368,4,400,673,48160,59
32504,17265472,4,400,1241,67104,66
32511,17269152,4,400,1807,3680,7
32512,17269856,4,400,559,704,1
32551,17302496,4,400,942,32640,39
32572,17320480,4,400,1380,17984,21
32588,17338752,2,400,610,18272,16
32589,17338848,2,400,913,96,1
32601,17351328,2,400,963,12480,12
32611,17361984,4,400,722,10656,10
32645,17396608,2,400,1199,34624,34
32661,17412096,4,400,594,15488,16
32697,17456832,2,400,955,44736,36
32698,17457376,2,400,1414,544,1
32708,17465600,4,400,556,8224,10
32713,17472992,2,400,1021,7392,5
32718,17475904,4,400,1775,2912,5
32728,17486752,2,400,1343,10848,10
32736,17491200,4,400,564,4448,8
32743,17502912,2,400,2295,11712,7
32748,17511648,4,400,783,8736,5
32757,17516000,4,400,825,4352,9
32763,17521408,2,400,1145,5408,6
32764,17523296,4,400,1007,1888,1
32780,17539648,2,400,1249,16352,16
32782,17541952,4,400,720,2304,2
32829,17590528,4,400,721,48576,47
32848,17610208,4,400,2370,19680,19
32861,17623296,4,400,2164,13088,13
32876,17636864,2,400,907,13568,15
32887,17645600,2,400,1207,8736,11
32931,17690048,2,400,1138,44448,44
32945,17699936,4,400,647,9888,14
32961,17713632,4,400,2406,13696,16
32986,17743776,2,400,604,30144,25
32990,17746496,4,400,663,2720,4
32993,17748256,4,400,516,1760,3
33029,17792768,2,400,832,44512,36
33046,17816864,4,400,564,24096,17
33052,17823936,4,400,654,7072,6
33059,17831392,4,400,1642,7456,7
33060,17831520,4,400,457,128,1
33096,17869440,2,400,1421,37920,36
33097,17869920,4,400,1189,480,1
33099,17871456,4,400,1397,1536,2
33118,17892096,2,400,692,20640,19
33149,17914048,2,400,815,21952,31
33153,17918784,4,400,639,4736,4
33159,17921728,4,400,678,2944,6
33203,17957344,4,400,928,35616,44
33206,17959040,4,400,791,1696,3
33209,17961376,4,400,576,2336,3
33225,17974560,4,400,1008,13184,16
33244,17988608,4,400,1159,14048,19
33249,17991936,2,400,876,3328,5
33255,17995456,4,400,1064,3520,6
33266,18004448,4,400,533,8992,11
33288,18019744,2,400,742,15296,22
33293,18025312,2,400,528,5568,5
33295,18028288,4,400,596,2976,2
33374,18099104,2,400,590,70816,79
33379,18106336,4,400,860,7232,5
33380,18107904,4,400,1093,1568,1
33381,18107936,4,400,783,32,1
33402,18126880,2,400,539,18944,21
33411,18137888,2,400,936,11008,9
33414,18138400,4,400,2052,512,3
33439,18160288,4,0,430,21888,25
33448,18173792,2,400,1002,13504,9
33457,18183968,4,400,1132,10176,9
33516,18241920,2,400,997,57952,59
33535,18256640,4,400,641,14720,19
33539,18260128,4,400,1750,3488,4
33583,18299296,2,400,689,39168,44
33596,18313760,4,400,1045,14464,13
33599,18316384,4,400,1896,2624,3
33603,18322304,2,400,968,5920,4
33621,18338976,2,400,977,16672,18
33622,18341408,4,400,1029,2432,1
33634,18352672,4,400,801,11264,12
33641,18361504,4,400,958,8832,7
33666,18384672,4,400,1323,23168,25
33668,18388608,4,400,2338,3936,2
33669,18389408,4,400,434,800,1
33670,18392864,2,400,1607,3456,1
33679,18400928,2,400,1937,8064,9
33686,18411520,4,400,1426,10592,7
33687,18411776,2,400,1441,256,1
33689,18413120,4,400,1445,1344,2
33699,18422816,4,400,760,9696,10
33704,18431008,2,400,558,8192,5
33705,18431936,4,400,1458,928,1
33706,18432064,4,400,836,128,1
33709,18435520,4,400,2531,3456,3
33712,18438400,2,400,1016,2880,3
33719,18443712,4,400,1005,5312,7
